Entity,languages,Affiliation,English,Spanish,EN_sentiment,ES_sentiment,sentimentDiff_EN-ES,sentimentDiff_ES-EN
Paul Bettencourt,en,R,"It is essential that the public trust the election process. Unfortunately, right here in Harris County, Democrats are undermining election security at every turn.\n\nA recent proclamation from Governor Greg Abbott to ensure that poll watchers have access to observe absentee ballots drop offs (as the law is on the books previously, with one location) has received swift condemnation under the usual Democrat mantra of suppression. (Read more: https://bit.ly/2Gtqh8G)\n\nHowever let\'s consider these simple truths:\n1) County Judge Hildago and County Clerk Hollins have been pushing past the Texas election code to try and mail 2,000,000+ Absentee ballot applications to voters and have been stopped by the Texas Supreme Court.\n\n2) This proclamation is the same law that was in place in the 2020 Primary, the 2018 Midterm, and the 2016 Presidential Election. Democrats in Harris County swept those elections in both 2016 and 2018 and there was no talk of suppression.\n\n3) Democrats regularly continue to deny voter fraud exists, just days after indictments came down against a Gregg County Commissioner and others for an organized vote harvesting scheme. \n\nAdd to this the recent contracts that are coming to light for contracts rammed through Commissioners Court by 3-2 partisan votes (for appointed County Clerk Hollins and totaling up to potentially one million dollars) for scopes of supply without a thorough purchasing contract being approved first. In other words, these contracts are not even complete, there are no performance metrics, but work is underway and you, the taxpayer, are being billed while every normal check and balance on purchasing has been ignored! These 12 companies were selected by the County Clerk based on what?! \n\nUpdate: In a great Texan\'s story, Holly Hansen goes into more detail on the contracts and other possible election corruption in the state. Well worth the read: (https://bit.ly/3cUhhFK).","to es is essential that the public trust the election process. Unfortunately, right here",3.1209,3.0053,0.1155999999999997,-0.1155999999999997
Texas Infrastructure Now,en,R,"We need to invest in Texans. We need to invest in #infrastructure. \n\nMore than 80% of Texas voters said YES to Propositions 1 and 7 to fund better, safer roads and bridges. The revenue from those propositions now generates almost a third of the Texas Department of Transportation's budget and has helped pave the way for a RECORD $24 billion in #transportation projects across our great state. \n\nTell Governor Greg Abbott you support better infrastructure and TxDOT’s great work!",nnMore than 80% of Texas voters said YES to,4.2814,2.0928,2.1885999999999997,-2.1885999999999997
Texas Latino Conservatives,en,R,"Orlando and Andrea speak with Representative Sarah Davis, a Civil Defense Attorney who is serving in her fifth term representing Texas House District 134, located in Houston, Texas. \n\nShe was named one of the top ten legislators by Texas Monthly for her work in the 85th Legislative session. \n\nwww.texaslatinoconservatives.com","Orlando und Andrea sprechen mit der Repräsentantin Sarah Davis, einer Anwaltin für",3.5785,3.7023,-0.12380000000000013,0.12380000000000013
Drew Springer,en,R,The REAL Shelley Luther is indebted $1 million to out-of-district interests. Learn more below!,en to es en to es en to es REAL,2.0255,3.8903,-1.8647999999999998,1.8647999999999998
Luke Macias,en,R,"This week I sat down with my friend and fellow patriot Mike Olcott, who is the brain and brawn behind Parker County Conservatives. You can learn more about Mike's group at ParkerCountyConservatives.com.\n\nhttps://lukemacias.com/mike-olcott-goes-sd-30-in-depth-and-rbgs-death-has-brought-accusations-of-hypocrisy-all-around-episode-84/\n\nTunes: https://apple.co/2kJls0u\nSpotify: https://spoti.fi/2mdILAa",en to es en to es...,3.1194,2.8031,0.3163,-0.3163
State Rep. Julie Johnson,en,R,"I am so honored to have earned the endorsement of  The Dallas Morning News for two years in a row! Read the full text below:\n\nSince taking office, Johnson, 54, has proven an effective legislator who’s willing to work across the aisle. She has co-authored numerous bills with Republicans, most notably HB3, the sweeping and crucial $11.6 billion school-finance reform bill signed into law last year by Gov. Greg Abbott.\n\nHer opponent, Republican Karyn Brownlee, a 54-year-old former public school principal in Coppell ISD, has somewhat toned down what had been a vocal embrace of a strong cultural conservative message — this in a time when North Texas voters have strongly signaled that isn’t the sort of government they want.\n\nBut Brownlee’s past focus on such concerns still separates her from Johnson’s more pragmatic approach to governing, which we think is a better fit for the district.\n\nWe were particularly concerned about Brownlee’s recent statement that Texans must be allowed to choose whether they will “mask up” in a time of pandemic. At this stage, the question of whether a state mask mandate during the COVID-19 pandemic is a “civil rights” issue is settled.\n\nJohnson, meanwhile, has built a record of bipartisan legislative success. And she is getting broad support in response. She has gained the endorsement of the Dallas Police Association, for example, and says the phrase “defunding the police” has become a “dog whistle” that doesn’t accurately represent the police reforms she favors, including better funding community mental health care and ending “no-knock warrants.\n\nWhen it comes to charter schools, neither candidate supports them in the way we would have liked. Brownlee said that while she’s not opposed to them, “Frankly, the data is still out on whether or not charter schools actually improve public schools.” While Johnson said flat out, “I’m not a fan of charter schools. I think that that funding should be put directly into the public-school system.”\n\nWhile we have our differences with some of Johnson’s more liberal legislative initiatives, we give the nod to Johnson for her proven ability to reach across the aisle, legislate effectively, and tend to the needs of her constituents in a level-headed manner without being dragged down by the hot-button issues of the day.\n\nhttps://www.dallasnews.com/opinion/editorials/2020/09/22/our-recommendation-for-texas-house-district-115/","to es, the endorsement of The Dallas Morning News for two years in",4.1002,3.7592,0.3410000000000002,-0.3410000000000002
"Judith Zaffirini, Texas State Senator",en,R,"Visiting Texas Long-Term Care Facilities During COVID-19, II",Visiting Texas Long-Term Care Facilities During COVI,3.7628,3.9405,-0.1777000000000002,0.1777000000000002
Texas Public Policy Foundation,en,R,"On Thursday, September 17th, Governor Greg Abbott announced increased openings for Texas businesses in trauma service areas where COVID-19 hospitalizations make up less than 15 percent of total hospitalizations. What will this more targeted approach mean for both the economy and public health? Is this the right approach and what should Texans expect as openings expand?","en to es, en to es, en to e",2.0752,2.9917,-0.9164999999999996,0.9164999999999996
Texas Scorecard,en,R,"Changing gears, Governor Greg Abbott is now using hospitalization rates as the metric to lift SOME restrictions for Texans who have now been under unilaterally imposed #coronavirus mandates for over 180 days. #txlege members have yet to be involved in the decisions:😒","Changing gears, Governor Greg Abbott uses hospitalization rates",3.2693,3.6929,-0.4236,0.4236
John Cyrier,en,R,"Last week I joined several state legislators in urging Governor Abbott to establish a statewide broadband plan. By outlining clear and achievable objectives, we can develop the infrastructure needed to improve broadband connectivity for all Texans.",en to es en to es Last week I joined several state legislator,4.253,2.545,1.7080000000000002,-1.7080000000000002
State Representative Brooks Landgraf,en,R,"As we mark the 19th anniversary of the 9/11 terrorist attacks (and recently the 1st anniversary of the 8/31 Odessa shooting), we have to remember the heroic men and women who rushed to the danger those days to save lives. We appreciate that those brave law enforcement officers continue put so much on the line every day. \n\nThat’s why I pledge to #BackTheBlue and will continue to push back against political efforts by some to defund the police in Texas. #NeverForget",nnnnnnnnn,4.3181,2.5701,1.7480000000000002,-1.7480000000000002
John Cyrier,en,R,I'm proud to join Governor  Greg Abbott and my colleagues in signing the #TexasBacksTheBlue Pledge. It's more important than ever to thank all of our brave and selfless law enforcement officers who put their lives on the line every day.\n\nUse the following link to add your name to the list of Texans Backing the Blue: https://www.gregabbott.com/backtheblue/,"Ich bin stolz, mich mit Governor Greg Abbott und meinen",4.1189,4.7,-0.5811000000000002,0.5811000000000002
Vick for Texas Senate,en,R,Beto O'Rourke ran a historic campaign in 2018 that inspired a nation of progressive voters. Now he has joined our efforts to turn Texas Senate District 22 blue. Please take a quick three minutes to watch as Beto explains why he is supporting our campaign and how you can help us win.,"Beto O'Rourke hat in 2018 eine historische Kampagne geführt, die",4.2996,3.8186,0.48099999999999987,-0.48099999999999987
Wright For Texas Railroad Commission,en,R,"Proud to join Governor Greg Abbott, along with Texas' elected officials and candidates, in pledging to oppose any efforts to defund the police in Texas. We must defend the men and women who protect and serve our communities every day. #TexasBacksTheBlue",en to es en to es en es en,4.636,3.3549,1.2811,-1.2811
Shadi Zitoon,en,R,"The choice is yours, from my perspective.\nWe stream town halls weekly, come and find out why I think your choice is the most important.","de la es: Die Wahl ist Ihre, aus meiner Sicht.nWir",4.4023,3.7155,0.6868000000000003,-0.6868000000000003
Mustafa Tameez,en,R,"The Texas Supreme Court races are in play. Watch my interview with the four democratic candidates running this year and you'll understand why - if you agree, support these great candidates across the finish line.",en to es en to es en to es,4.396,3.1241,1.2719,-1.2719
Boot Texas Republicans,en,R,"Governor Greg Abbott ignored scientists and doctors, and now thousands of Texans are sick and dying from coronavirus.","en to es Governor Greg Abbott ignored scientists and doctors, and now thousands of",2.6328,2.7416,-0.10880000000000001,0.10880000000000001
Greg Abbott,en,R,The Texas Democrat platform calls for defunding the police. \nAdd your name if you agree that Texas needs to PROTECT POLICE FUNDING!,de la es es es es es e,1.5984,2.9383,-1.3398999999999999,1.3398999999999999
Sam Harless,en,R,"Today’s items of interest from Austin”\n\n·      From @GovAbbott: Hurricane season is not yet over. Now is the time to purchase or renew flood insurance. Homeowners and renters policies do not cover flooding. It typically takes up to 30 days for a policy to go into effect. The time to buy is well before a disaster > tdi.texas.gov/consumer/storms/flood-insurance.html\n\n·      To stay connected to small business and community partners across the state, the Economic Development and Tourism teams in the Office of the Governor have been going virtual to maintain outreach and support. The Governor’s Small Business Webinar Series, also archived online, continues to be highly attended. To date, there have been nearly 20,000 registrants for the first 11 webinars; businesses from across all sectors have attended. The team plans on delivering additional webinars.\nhttps://gov.texas.gov/business/page/small-business-events\n\n·      To find a COVID-19 testing site > covidtest.tdem.texas.gov\n·      From @TexasHHSC: These simple steps help stop the spread of #COVID19. Take all steps to best prevent getting and spreading COVID-19 and the flu. Learn more: dshs.texas.gov/coronavirus/#prevent\n\n·      From HHSC on Facebook: Last year, the Texas Legislature designated September as Sickle Cell Disease Awareness Month to shine a light on this hereditary blood disorder. September is also National Sickle Cell Awareness Month. As awareness grows, so does the capacity to help Texans who have the disease. Read more.  \nhttps://hhs.texas.gov/about-hhs/communications-events/news/2020/09/september-marks-sickle-cell-disease-awareness-month-texas\n\n·      From @TDEM: Today is @TDEM's 1st Birthday! Effective Sept. 1, 2019 - @TDEM became a standalone state agency within the @TAMUsystem. This partnership is a natural fit & allows us to leverage the capabilities of @TAMUsystem to improve emergency management in TX.\n\no   Thanks to the leadership of @GovAbbott, Chancellor Sharp, Rep. @GeanieWMorrison, Senator @LoisKolkhorst, and the entire #TxLege - Texas will continue to lead the nation in how we prepare for, respond to, recover from, and mitigate against all-hazard threats.\n·      From @TXAG:  ICYMI: Be aware of unsolicited purchase orders and requests from fraudsters posing as state agencies. #Texas state agencies have detailed procurement procedures for purchase orders and contracts. Learn how to spot scams and more by visiting > texasattorneygeneral.gov/consumer-protection/common-scams",es: Today’s items of interest from Austin”nn,3.9543,3.886,0.0682999999999998,-0.0682999999999998
Texas Infrastructure Now,en,R,"We need to invest in Texans. We need to invest in #infrastructure. \n\nMore than 80% of Texas voters said YES to Propositions 1 and 7 to fund better, safer roads and bridges. The revenue from those propositions now generates almost a third of the Texas Department of Transportation's budget and has helped pave the way for a RECORD $24 billion in #transportation projects across our great state. \n\nLike and Share to show Governor Greg Abbott you support better infrastructure and TxDOT’s great work!",nnMore than 80% of Texas voters said YES to,4.1072,2.0928,2.0143999999999997,-2.0143999999999997
Greg Abbott,en,R,Democrats in Austin recently agreed to cut the police budget. Add your name if you think Texas should keep our police funded!,en to es en to es en to es recent,2.5861,2.9228,-0.3367,0.3367
Texas Gulf Coast Area Labor Federation,en,R,"More than 12,000 Texans have lost their lives to the Covid-19 pandemic. From the beginning of the crisis, Republicans in Austin and DC have made things worse by challenging public health experts and spreading misinformation. \nThis November, commit to vote the labor slate and elect leaders who will put our safety first.",n n n n n n,1.7521,2.5996,-0.8475000000000001,0.8475000000000001
Texas Gulf Coast Area Labor Federation,en,R,"Millions of Texans are still out of work, and Republicans in Austin and DC refuse to pass common-sense legislation to provide relief and get our economy back on track. Commit to vote the labor slate this November and end this crisis.",Millionen von Texanern sind noch nicht arbeit,1.5089,1.5615,-0.0526000000000002,0.0526000000000002
Texas Gulf Coast Area Labor Federation,en,R,"More than 12,000 Texans have lost their lives to the Covid-19 pandemic. From the beginning of the crisis, Republicans in Austin and DC have failed to keep us safe. This November, commit to vote the labor slate and elect leaders who will put our safety first.",Mehr als 12.000 Texaner haben ihr Leben an,1.8986,2.8492,-0.9506000000000001,0.9506000000000001
Luke Macias,en,R,"Fact: Drew Springer opposes a ban on taxpayer funded lobbying, a position that is out of step with over 90% of his constituents. \n\nIn an attempt to cover his record Springer is trying to throw Mayes Middleton and Briscoe Cain under the bus. It won't work, and facts matter. \n\nTake some time to fully understand just how much Drew Springer is trying to deceive his voters. \n\nhttps://lukemacias.com/drew-springer-supports-taxpayer-funded-lobbyists-episode-81/\n\niTunes: https://apple.co/2kJls0u\nYoutube: https://youtu.be/lzcKnuM1TxY",es: Fact: Drew Springer se opune unei interdicţii,1.744,2.5187,-0.7746999999999999,0.7746999999999999
Greg Abbott,en,R,Democrats in Austin recently agreed to cut the police budget. Add your name if you agree that Texas needs to keep our police funded!,de las es en las es en las e,2.626,2.7099,-0.08390000000000031,0.08390000000000031
Greg Abbott,en,R,The Texas Democrat platform calls for defunding the police. Add your name if you agree that Texas needs to keep our police funded!,de las es es en la es es,1.6993,2.7787,-1.0794000000000001,1.0794000000000001
Texas Watch,en,R,"In the wake of Gov. Greg Abbott announcing Federal Emergency Management Agency approval for Federal Emergency Declaration, Texas Attorney General Ken Paxton today warned that state law prohibits price gouging during a declared disaster.",en to es en the following day that Gov. Greg Abbott announced Federal Emergency,2.0707,2.0228,0.04789999999999983,-0.04789999999999983
Legal Newsline,en,R,A $300 million contract to keep tabs on Texans,A $300 million contract to keep tabs on Texans,3.2281,3.2281,0.0,0.0
National Parents Union,en,R,"Welcome to My Child My Voice Parent Connection live on August 20 2020.\n\nNational Parents Union: For more information, email: info(at)npunion(dotorg)",En to es: Welcome to My Child My Voice Parent Connection live on August 20 2020,3.9506,3.904,0.0466000000000002,-0.0466000000000002
RA News,en,R,A controversial group is buying influence in the Texas Lege. Why is Jeff Cason one of them?,A controversial group is buying influence in the Texas Lege.,2.2463,2.4896,-0.24329999999999963,0.24329999999999963
Tenth Amendment Center,en,R,"Status Report: End the Fed from the Bottom Up\n\nThe Federal Reserve is the engine that drives the most powerful government in history. But we can't count on the federal government to end its own bank. So it's up to states and individuals to take action to create currency competition - and ultimately reject the fiat funny money of the Fed. On this episode, get an overview of our progress.",Status Report: End the Fed from the Bottom Upn,3.1846,2.5117,0.6729000000000003,-0.6729000000000003
Luke Macias,en,R,Raz Shafer was gracious enough to join the podcast this week. He was in the San Antonio area so we took a few minutes to discuss just how unpredictable Governor Abbott has been regarding business closers.\n\nhttps://lukemacias.com/abbott-breaks-the-back-of-businesses-and-lets-talk-about-chickens-episode-77/\n\niTunes: https://apple.co/2kJls0u\nYoutube: https://youtu.be/9YV7WZzJXqs,en to es en to es en to es,3.1213,3.1241,-0.0027999999999996916,0.0027999999999996916
Southern Priorities,en,R,"“To beat this virus, we must listen to experts and substantially ramp up testing, contact tracing and treatment across the board. We need a plan, not a date to safely reopen.” — Rep. Colin Allred",„Bei diesem Virus müssen wir Experten zuhören,1.6109,2.4235,-0.8126000000000002,0.8126000000000002
Commissioner Vincent Morales,en,R,"Early voting period extended by Governor Abbott, October 13 - 30th, 2020",de la es es es es es e,2.5016,2.9383,-0.4367000000000001,0.4367000000000001
Luke Macias,en,R,"Sorry, I missed last week, I was on vacation and my chief of staff got married. So we decided to forgo last week's episode and come back to you today.\n\nhttps://lukemacias.com/allen-west-greg-abbott-and-neil-gorsuch-episode-76/\n\nTunes: https://apple.co/2kJls0u\nYoutube: https://youtu.be/xTTLWvzydPM",es: es: es:,1.8173,2.6881,-0.8708,0.8708
The Texan,en,R,"After four months of separation from loved ones in nursing homes, over 8,000 Texas residents signed a petition for limited family visits in nursing homes while 55 Texas legislators called on Governor Abbott to put a plan in place.","en to es en to es, after four months of separation from",2.1029,1.9604,0.14250000000000007,-0.14250000000000007
Texas Democratic Party,en,R,"COVID cases should be on the decline in Texas.\nBut because of Governor Abbott, they’re doing the opposite.\n\nSign on to demand Abbott do his job and stop the spread of COVID instead of surrendering.",cazurile COVID ar trebui să fie în s,1.871,2.5247,-0.6537000000000002,0.6537000000000002
Texas Democratic Party,en,R,"John Cornyn thought COVID would be a “piece of cake.” \nNow 100 Texans are dying a day. When Texans needed real leadership, JOHN CORNYN FAILED. We’re building a Cornyn War Room to send him packing this November -- join us today!",en to es John Cornyn a crezut că COVID va fi,2.6868,2.5012,0.1856,-0.1856
Texas Democratic Party,en,R,Greg Abbott’s lies are deadly.\n\nWhile he was telling Texans that there’s no reason...to be alarmed” cases are surging. We deserve better: Sign on to join Texas Democrats and replace failed Republican leadership in Texas.,lies de Greg Abbott sunt mortale.nn,1.9314,1.3933,0.5381,-0.5381
Texas Democratic Party,en,R,"John Cornyn has had the best healthcare DC has to offer for 18 years.\nSo why has he voted 18 times to gut healthcare access for millions? And, why, in the midst of a pandemic, does he still want to rip away healthcare access from 5 million Texans with preexisting conditions? It’s because he works for special interests, not us. We’re building a Cornyn War Room to defeat him this November -- join us today.",en to es en to es a avut cea mai bună as,2.6298,3.683,-1.0532,1.0532
Texas Democratic Party,en,R,"Abbott’s leadership is failing Texans. He opened our state back up unsafely and is forcing people to go back to work or lose their unemployment. \n\nTexas has one of the highest uninsured rates in the nation, and now we’re seeing daily records of increased COVID cases and hospitalizations. We deserve better leadership. Add your name to join the fight:","es: Abbott’s leadership slams Texans,",1.4875,3.5257,-2.0382,2.0382
Texas Caregivers for Compromise - because isolation kills too,en,R,"Texans, tell Governor Greg Abbott to come up with a plan!\n132 days since family members, hospice aides, guardians, clergy and outside advocates have been allowed access to skilled nursing facilities.","Texans, tell Governor Greg Abbott to come up with",3.5851,3.7262,-0.14109999999999978,0.14109999999999978
Luke Macias,en,R,Enjoyed being on The News and Why it Matters last week. Greg Abbott seems far too concerned with polls. Many of the things we talked about I discussed in more details on last week’s podcast.\n\nhttps://www.youtube.com/watch?v=MsCSMBuWWA8\n\nYou can also listen to our podcast on Governor Abbott as well.\n\nhttps://lukemacias.com/greg-abbott-is-attacking-individual-liberties-of-texans-episode-74/,en to es en to es last week. Greg Abbott seems far,3.903,3.4693,0.4337,-0.4337
J.D. Sheffield,en,R,"If you thought the New York Times or the Washington Post were fake news, wait until you see The Central Texas Herald. This is actually a fake newspaper. If you google it, you will see there is no website. All of the articles are completely made up. \n\nMrs. Slawson\'s camp sent this throughout the district today. Their big city dark money backers know rural Republicans depend on small-town newspapers - so they made up one of their own to deceive us.\n\nThe headline is particularly offensive because I have repeatedly and successfully DEFUNDED PLANNED PARENTHOOD.\n\nIn fact, my consistent pro-life voting record is why I am endorsed by statewide pro-life groups Texas Alliance for Life, LifePAC, as well as Governor Greg Abbott. \n\nLast week, Empower Texans attacked Governor Abbott because of his disability, said they hated him, and called him evil. This week, their allies are calling me anti-life. \n\nThe sad truth is Shelby Slawson, Empower Texans, and their ally Texas Right to Life know I have a pro-life voting record but still attempt to deceive rural conservatives to win our seat for big city special interests. \n\nThey know that if you think I am anti-life - there is no way you will support me. Please don\'t be fooled by them. Our rural schools, rural hospitals, and rural way of life depend on you knowing the truth. \n\nIf you have received this fake newspaper, just know that you have been lied to. \n\nYou can do something about it on July 14.","to es, the New York Times or the Washington Post were fake news,",1.2545,2.0879,-0.8333999999999999,0.8333999999999999
Luke Macias,en,R,"This isn't a fun episode to publish. Our 3rd episode of this show was an interview with James Dickey, and we highlighted the good he was doing as RPT Chair. Now I find myself in a position of not supporting his re-election and voting for Allen West. \n\nhttps://lukemacias.com/why-i-cant-vote-for-james-dickey-episode-75/\n\nTunes: https://apple.co/2kJls0u\nYoutube: https://youtu.be/odspAPKbc9M",en to es to es: This isn't a fun,1.6722,1.8184,-0.1462000000000001,0.1462000000000001
Greg Abbott,en,R,I’m proud to endorse Dr. Glenn Rogers for state representative in the Republican Primary Runoff Election.,"Ich bin stolz, Dr. Glenn Rogers als staatlich",4.5148,4.3577,0.1570999999999998,-0.1570999999999998
Greg Abbott,en,R,"I’m proud to endorse Jack Wilson, a Texas hero, for Hood County Commissioner in the Republican Primary Runoff Election.","Ich bin stolz, Jack Wilson, einen Helden aus Texas",4.4208,4.5786,-0.15779999999999994,0.15779999999999994
Greg Abbott,en,R,I’m proud to endorse State Representative J.D. Sheffield for reelection in the Republican Primary Runoff Election.,"De es: Ich bin stolz, den Staatsrepräsentanten J.D.",4.4418,3.4741,0.9676999999999998,-0.9676999999999998
Greg Abbott,en,R,I’m proud to endorse State Representative Dan Flynn for reelection in the Republican Primary Runoff Election.,De la sa sa sa sa sa s,4.4848,2.9081,1.5766999999999998,-1.5766999999999998
Greg Abbott,en,R,I’m proud to endorse Justin Berry for state representative in Travis County’s Republican Primary Runoff Election.,"Ich bin stolz, Justin Berry für den staatlichen Vertreter in",4.4722,4.4908,-0.018600000000000172,0.018600000000000172
Greg Abbott,en,R,I’m proud to support Jacey Jetton for state representative in Fort Bend County’s Republican Primary Runoff Election.,"De es: Ich bin stolz, Jacey Jetton für den staatlichen",4.4167,3.9991,0.41759999999999975,-0.41759999999999975
Dan Flynn for Texas,en,R,"Wow, what a great ad appearing in the Herald-Banner from some tremendous Hunt County supporters: HD-2 is not for sale to West Texas billionaires! \nWe, the undersigned, are calling on Mr. Slaton to completely disavow Empower Texans for their disgusting tirade against Governor Abbott, repudiate their consistently hateful rhetoric and return the contributions from the West Texas Empower Texans billionaires funding his campaign.","en to es, what a great ad appearing in the Herald-",1.9415,4.627,-2.6854999999999998,2.6854999999999998
Texas Parent PAC,en,R,"Like Governor Abbott, we endorse Dr. J.D. Sheffield for reelection to the Texas House HD 59. J.D. is the only Republican primary runoff candidate who listens to public school parents. Early voting runs through this Friday, July 10. Election Day is Tuesday, July 14. Vote in this important election for your state representative at the Capitol in Austin.","en to es, wie Governor Abbott, unterstützen wir Dr. J.D.",3.9786,4.1204,-0.14179999999999993,0.14179999999999993
Texas Parent PAC,en,R,"Like Governor Abbott, we endorse Dr. Glenn Rogers for Texas House representing Palo Pinto, Stephens, Coleman and Shackelford Counties. He is the only Republican primary runoff candidate who listens to rural public school parents. Early voting runs through this Friday, July 10. Election Day is Tuesday, July 14. Only Glenn Rogers is unbossed and unbought.",,3.3681,3.4453,-0.07719999999999994,0.07719999999999994
Luke Macias,en,R,"Greg Abbott, by his own words, is disrespecting and attacking the individual liberties of Texans.\n\nThis isn’t my accusation of Governor Abbott. It’s his own description of his unilateral edict that he signed last week.\n\nhttps://lukemacias.com/greg-abbott-is-attacking-individual-liberties-of-texans-episode-74/\n\nTunes: https://apple.co/2kJls0u\nYoutube: https://youtu.be/MoJ_3XL8qsQ","en to es, Greg Abbott, prin propriile cuvinte, este împotriva şi",1.9154,2.3752,-0.4598,0.4598
"Mayor Scott Bradley, City of Murphy",en,R,"There seems to be a lot of confusion concerning the Governors face mask Executive Order, his companion Proclamation and Collin County Judge Hills Proclamation.  How should we interpret them and what does it mean for Murphy?\n\n1) Under the Governors Executive Order, as of 12:01 PM on July 3rd the Governor required face coverings in most Texas Counties.  With some exceptions including: \n- any person younger than 10 years of age;\n- any person with a medical condition or disability that prevents wearing a face covering;\n- any person while the person is consuming food or drink, or is seated at a restaurant to eat or drink;\n\n2) Under the Governors Executive order the he further orders local law enforcement to enforce the order as follows: \n- verbal or written warning for a first-time violator, \n- Second and subsequent violations shall be punishable by a fine not to exceed $250. \n\nFull Stop - that is where the conversations about facecoverings end and I encourage you to read the executive order by the Governor.  \n\n////////////////////////////////////////////////////////////\n\nIn addition to the executive order, the Governor also issued a proclamation amending his June 26th Executive Order granting some power to County Judges and Mayors in relation to gatherings larger than 10 people:\n\nIt reads:   For any outdoor gathering in excess of 10 people, other than those set forth above in paragraph numbers 1, 2, or 4, the gathering is prohibited unless the mayor of the city in which the gathering is held, or the county judge in the case of a gathering in an unincorporated area, approves of the gathering, and such approval can be made subject to certain conditions or restrictions not inconsistent with this executive order.\n\nI have already done this and the drive in movie night at Kimbrough Stadium and the Graduation Parade are prime examples.\n\nIMPORTANT\nThis is not a change to the current language about gatherings greater than 10 people.  It creates no additional restrictions it simply clarifies that County Judges and Mayors have the authority on a case by case basis to authorize larger gatherings in controlled ways.  As we are already doing... \n\nFollowing the Governors Proclamation, Collin County Judge Hill issue his own Proclamation declaring that Collin County citizens are permitted to have outdoor gatherings in excess of 10 people.\n\nUnfortunately, the Governors Proclamation does not give him the authority to make that broad of an order.  The Governors order only authorized him to authority over unincorporated areas.   \n\nThank you and I appreciate your support as we navigate this together.",es: There seems to be a lot of confusion concerning the Governors face,2.6761,2.8235,-0.1474000000000002,0.1474000000000002
Good Human Supply Co.,en,R,Just want to remind all of you good humans to stay safe and wear a mask!,en to es just want to remind all of you good humans to stay safe and,4.3727,4.0208,0.35189999999999966,-0.35189999999999966
RA News,en,R,Why did Cason take cash from a group run by “one of the biggest snakes in Texas politics”?,"de to es: Warum nahm Cason Geld von einer Gruppe, die von",1.7151,2.0067,-0.29159999999999986,0.29159999999999986
RA News,en,R,Empower Texans found their perfect puppet in Cason.,de to es: Empower Texans found their perfect puppet in Cason.,4.7853,4.6029,0.18240000000000034,-0.18240000000000034
Konni Burton,en,R,UN-FREAKING-BELIEVABLE\n\nhttps://thetexan.news/governor-abbott-issues-statewide-face-mask-mandate-individuals-liable-for-fines/,UN-FREAKING-BELIEVABLEn,1.7533,3.8391,-2.0858,2.0858
The Texan,en,R,"Governor Greg Abbott issued an Executive Order requiring most Texans to wear face coverings in public. According to the order, law enforcement agents are to give individuals a warning for a first offense, but may fine up to $250 per violation after that.",en to es en to es Governor Greg Abbott hat einen,2.4892,3.6095,-1.1203000000000003,1.1203000000000003
Debra Edmondson for Texas,en,R,"Cases are rising and we’re hearing excuses, not answers. Let’s talk answers at our Virtual Town Hall on Wednesday","Cases are rising and we hear excuses, not answers",2.0436,1.6978,0.3458000000000001,-0.3458000000000001
Texas Parent PAC,en,R,"Like Governor Abbott, we endorse Dr. Glenn Rogers for Texas House in HD 60. He is the only Republican primary runoff candidate who will listen to public school parents. Only Glenn Rogers is unbossed and unbought. Early voting has begun! Vote today!",,4.0086,3.4453,0.5633000000000004,-0.5633000000000004
Dan Flynn for Texas,en,R,"We, the undersigned, are calling on Mr. Slaton to completely disavow Empower Texans for their disgusting tirade against Governor Abbott, repudiate their consistently hateful rhetoric and return the contributions from the West Texas Empower Texans billionaires funding his campaign.\nDid you see this terrific ad in the latest edition of the Herald-Banner? I\'m proud to have such great support here in East Texas. HD-2 is not for sale to West Texas billionaires!","Wir, die Unterzeichnenden, fordern Herrn Slaton auf, die Em",1.8519,3.6559,-1.8039999999999998,1.8039999999999998
Dan Flynn for Texas,en,R,"I'm honored to be endorsed by Governor Greg Abbott! Together, we will continue the fight for the conservative values which make our state great.\nVOTE EARLY: June 29 - July 10\nELECTION DAY: July 14","Ich bin erfreut, von Governor Greg",4.3899,4.5436,-0.15369999999999973,0.15369999999999973
J.D. Sheffield,en,R,"My opponent and her DFW-based benefactors have tried to say that I'm not *really* endorsed by Governor Abbott. I could refute this with a number of facts, but I would rather allow our Governor to clear things up himself. Watch below.",en to es to es: My opponent and her DFW-based,2.7676,3.7509,-0.9833000000000003,0.9833000000000003
Stansberry Research,en,R,"If businesses in Texas shut down once more, it could result in reduced national economic growth.",de la es en to es en es en,2.3011,3.2423,-0.9412000000000003,0.9412000000000003
KFXV - Fox News Rio Grande Valley,en,R,#LIVE Join our live as we discuss the latest updates on COVID-19 in the South Texas region and provide you with important help line numbers.,#LIVE Join our live as we discuss the latest updates,4.4244,4.2731,0.1513,-0.1513
Texas Parent PAC,en,R,"Texas Parent PAC works to elect state representatives who won't be bossed by Empower, but will instead listen to local parents and vote in the best interest of Texas school children.","Texas Parent PAC arbeitet daran, staatliche Vertreter zu",3.7653,3.9751,-0.2098,0.2098
Harris County Democratic Party,en,R,"After reopening Texas early, Greg Abbott now calls the coronavirus surge 'unacceptable'. He downplayed rising cases, ignored the experts, and restricted the ability of local leaders to flatten the curve. The only thing that is unacceptable is his leadership.\n\nWe are thankful for Judge Lina Hidalgo and Mayor Sylvester Turner for their leadership during these times.","en to es en to es en to es,",2.115,3.0217,-0.9066999999999998,0.9066999999999998
